CN,English,color_code
黑色,Black,#000000
昏灰,Dim Gray,#696969
灰色,Gray,#808080
暗灰,Dark Gray,#A9A9A9
银色,Silver,#C0C0C0
亮灰色,Light Gray,#D3D3D3
庚斯博罗灰,Gainsboro,#DCDCDC
白烟色,White Smoke,#F5F5F5
白色,White,#FFFFFF
雪色,Snow,#FFFAFA
铁灰色,Iron Gray,#625B57
沙棕,Sand Beige,#E6C3C3
玫瑰褐,Rosy Brown,#BC8F8F
亮珊瑚色,Light Coral,#F08080
印度红,Indian Red,#CD5C5C
褐色,Brown,#A52A2A
砖红色,Fire Brick,#B22222
栗色,Maroon,#800000
暗红,Dark Red,#8B0000
鲜红,Strong Red,#E60000
红色,Red,#FF0000
柿子橙,Persimmon,#FF4D40
雾玫瑰色,Misty Rose,#FFE4E1
鲑红,Salmon,#FA8072
腥红,Scarlet,#FF2400
蕃茄红,Tomato,#FF6347
暗鲑红,Dark Salmon,#E9967A
珊瑚红,Coral,#FF7F50
橙红,Orange Red,#FF4500
亮鲑红,Light Salmon,#FFA07A
朱红,Vermilion,#FF4D00
赭黄,Sienna,#A0522D
热带橙,Tropical Orange,#FF8033
驼色,Camel,#A16B47
杏黄,Apricot,#E69966
椰褐,Coconut Brown,#4D1F00
海贝色,Seashell,#FFF5EE
鞍褐,Saddle Brown,#8B4513
巧克力色,Chocolate,#D2691E
燃橙,Burnt Orange,#CC5500
阳橙,Sun Orange,#FF7300
粉扑桃色,Peach Puff,#FFDAB9
沙褐,Sand Brown,#F4A460
铜色,Bronze,#B87333
亚麻色,Linen,#FAF0E6
蜜橙,Honey Orange,#FFB366
秘鲁色,Peru,#CD853F
乌贼墨色,Sepia,#704214
赭色,Ocher,#CC7722
陶坯黄,Bisque,#FFE4C4
橘色,Tangerine,#F28500
暗橙,Dark Orange,#FF8C00
古董白,Antique White,#FAEBD7
日晒色,Tan,#D2B48C
硬木色,Burly Wood,#DEB887
杏仁白,Blanched Almond,#FFEBCD
那瓦霍白,Navajo White,#FFDEAD
万寿菊黄,Marigold,#FF9900
蕃木瓜色,Papaya Whip,#FFEFD5
灰土色,Pale Ocre,#CCB38C
卡其色,Khaki,#996B1F
鹿皮鞋色,Moccasin,#FFE4B5
旧蕾丝色,Old Lace,#FDF5E6
小麦色,Wheat,#F5DEB3
桃色,Peach,#FFE5B4
橙色,Orange,#FFA500
花卉白,Floral White,#FFFAF0
金菊色,Goldenrod,#DAA520
暗金菊色,Dark Goldenrod,#B8860B
咖啡色,Coffee,#4D3900
茉莉黄,Jasmine,#E6C35C
琥珀色,Amber,#FFBF00
玉米丝色,Cornsilk,#FFF8DC
铬黄,Chrome Yellow,#E6B800
金色,Golden,#FFD700
柠檬绸色,Lemon Chiffon,#FFFACD
亮卡其色,Light Khaki,#F0E68C
灰金菊色,Pale Goldenrod,#EEE8AA
暗卡其色,Dark Khaki,#BDB76B
含羞草黄,Mimosa,#E6D933
奶油色,Cream,#FFFDD0
象牙色,Ivory,#FFFFF0
米色,Beige,#F5F5DC
亮黄,Light Yellow,#FFFFE0
亮金菊黄,Light Goldenrod Yellow,#FAFAD2
香槟黄,Champagne Yellow,#FFFF99
芥末黄,Mustard,#CCCC4D
月黄,Moon Yellow,#FFFF4D
橄榄色,Olive,#808000
鲜黄,Canary Yellow,#FFEF00
黄色,Yellow,#FFFF00
苔藓绿,Moss Green,#697723
亮柠檬绿,Light Lime,#CCFF00
橄榄军服绿,Olive Drab,#6B8E23
黄绿,Yellow Green,#9ACD32
暗橄榄绿,Dark Olive Green,#556B2F
苹果绿,Apple Green,#8CE600
绿黄,Green Yellow,#ADFF2F
草绿,Grass Green,#99E64D
草坪绿,Lawn Green,#7CFC00
查特酒绿,Chartreuse,#7FFF00
叶绿,Foliage Green,#73B839
嫩绿,Fresh Leaves,#99FF4D
明绿,Bright Green,#66FF00
钴绿,Cobalt Green,#66FF59
蜜瓜绿,Honeydew,#F0FFF0
暗海绿,Dark Sea Green,#8FBC8F
亮绿,Light Green,#90EE90
灰绿,Pale Green,#98FB98
常春藤绿,Ivy Green,#36BF36
森林绿,Forest Green,#228B22
柠檬绿,Lime Green,#32CD32
暗绿,Dark Green,#006400
绿色,Green,#008000
鲜绿色,Lime,#00FF00
孔雀石绿,Malachite,#22C32E
薄荷绿,Mint,#16982B
青瓷绿,Celadon,#ACE1AF
孔雀石绿,Very Light Malachite Green,#73E68C
绿松石绿,Turquoise Green,#4DE680
铬绿,Viridian,#127436
苍色,Horizon Blue,#B8DDC8
海绿,Sea Green,#2E8B57
中海绿,Medium Sea Green,#3CB371
薄荷奶油色,Mint Cream,#F5FFFA
春绿,Spring Green,#00FF80
孔雀绿,Peacock Green,#00A15C
中春绿色,Medium Spring Green,#00FA9A
中碧蓝色,Medium Aquamarine,#66CDAA
碧蓝色,Aquamarine,#7FFFD4
青蓝,Cyan Blue,#0DBF8C
水蓝,Aqua Blue,#66FFE6
土耳其蓝,Turquoise Blue,#00FFEF
绿松石色,Turquoise,#40E0D0
亮海绿,Light Sea Green,#20B2AA
中绿松石色,Medium Turquoise,#48D1CC
亮青,Light Cyan,#E0FFFF
浅蓝,Baby Blue,#89CFF0
灰绿松石色,Pale Turquoise,#AFEEEE
暗岩灰,Dark Slate Gray,#2F4F4F
凫绿,Teal,#008080
暗青,Dark Cyan,#008B8B
青色,Cyan,#00FFFF
水色,Aqua,#AFDFE4
暗绿松石色,Dark Turquoise,#00CED1
军服蓝,Cadet Blue,#5F9EA0
孔雀蓝,Peacock Blue,#00808C
粉蓝,Powder Blue,#B0E0E6
浓蓝,Strong Blue,#006374
亮蓝,Light Blue,#ADD8E6
灰蓝,Pale Blue,#D1EDF2
萨克斯蓝,Saxe Blue,#4798B3
深天蓝,Deep Sky Blue,#00BFFF
水手蓝,Marine Blue,#00477D
普鲁士蓝,Prussian blue,#003153
爱丽丝蓝,Alice Blue,#F0F8FF
道奇蓝,Dodger Blue,#1E90FF
矿蓝,Mineral Blue,#004D99
湛蓝,Azure,#007FFF
韦奇伍德瓷蓝,Wedgwood Blue,#5686BF
亮钢蓝,Light Steel Blue,#B0C4DE
钴蓝,Cobalt Blue,#0047AB
灰丁宁蓝,Pale Denim,#5E86C1
鼠尾草蓝,Salvia Blue,#4D80E6
暗粉蓝,Dark Powder Blue,#003399
蓝宝石色,Sapphire,#082567
国际奇连蓝,International Klein Blue,#002FA7
蔚蓝,Cerulean blue,#2A52BE
品蓝,Royal Blue,#4169E1
暗矿蓝,Dark Mineral Blue,#24367D
极浓海蓝,Ultramarine,#0033FF
天青石蓝,Lapis Lazuli,#26619C
幽灵白,Ghost White,#F8F8FF
薰衣草紫,Lavender Mist,#E6E6FA
长春花色,Lavender Blue,#CCCCFF
长春花色,Periwinkle,#C3CDE6
午夜蓝,Midnight Blue,#191970
藏青,Navy Blue,#000080
暗蓝,Dark Blue,#00008B
中蓝,Medium Blue,#0000CD
蓝色,Blue,#0000FF
浅灰紫红,Grayish Purple,#8674A1
靛色,Indigo,#4B0080
暗岩蓝,Dark Slate Blue,#483D8B
钢青色,Steel Blue,#4682B4
碧绿,Emerald,#50C878
紫色,Purple,#6A0DAD
岩蓝,Slate Blue,#6A5ACD
矢车菊蓝,Cornflower Blue,#6495ED
中岩蓝,Medium Slate Blue,#7B68EE
紫罗兰色,Violet,#7F00FF
岩灰,Slate Gray,#708090
亮岩灰,Light Slate Gray,#778899
蓝紫,Blue Violet,#8A2BE2
暗洋红,Dark Magenta,#8B008B
梅红色,Plum,#8E4585
天空蓝,Sky Blue,#87CEEB
浅天蓝,Light Sky Blue,#87CEFA
勃艮第酒红,Burgundy,#800020
宗主教,Patriarch,#800080
中紫红,Medium Purple,#9370DB
暗紫,Dark Violet,#9400D3
暗兰紫,Dark Orchid,#9932CC
紫水晶色,Amethyst,#9966CC
中兰紫,Medium Orchid,#BA55D3
薰衣草紫,Lavender,#B57EDC
三色堇紫,Pansy,#7400A1
锦葵紫,Mallow,#D94DFF
优品紫红,Opera Mauve,#B784A7
淡紫丁香色,Pail Lilac,#E6CFE6
矿紫,Mineral Violet,#A39DAE
亮紫,Light Violet,#B09DB9
紫藤色,Wisteria,#C9A0DC
紫丁香色,Lilac,#C8A2C8
梅红色,Medium Lavender Magenta,#DDA0DD
亮紫,Lavender Magenta,#EE82EE
缬草紫,Heliotrope,#DF73FF
木槿紫,Mauve,#E0B0FF
蓟紫,Thistle,#D8BFD8
铁线莲紫,Clematis,#CCA3CC
洋红,Magenta,#FF00FF
品红,Fuchsia,#F400A1
兰紫,Orchid,#DA70D6
浅珍珠红,Pearl Pink,#FFB3E6
陈玫红,Old Rose,#C08081
浅玫瑰红,Rose Pink,#FF66CC
中青紫红,Medium Violet Red,#C71585
洋玫瑰红,Magenta Rose,#FF0DA6
玫瑰红,Rose,#FF007F
红宝石色,Ruby,#CC0080
山茶红,Camellia,#E63995
深粉红,Deep Pink,#FF1493
火鹤红,Flamingo,#E68AB8
浅珊瑚红,Coral Pink,#FF80BF
暖粉红,Hot Pink,#FF69B4
尖晶石红,Spinel Red,#FF73B3
胭脂红,Carmine,#E6005C
浅粉红,Baby Pink,#FFD9E6
枢机红,Cardinal Red,#990036
薰衣草紫红,Lavender Blush,#FFF0F5
灰紫红,Pale Violet Red,#DB7093
樱桃红,Cerise,#DE3163
浅鲑红,Salmon Pink,#FF8099
绯红,Crimson,#DC143C
粉红,Pink,#FFC0CB
亮粉红,Light Pink,#FFB6C1
壳黄红,Shell Pink,#FFB3BF
茜红,Alizarin Crimson,#E32636
