name_cn,adcode,citycode
中华人民共和国,100000,
北京市,110000,10
北京市市辖区,110100,10
东城区,110101,10
西城区,110102,10
朝阳区,110105,10
丰台区,110106,10
石景山区,110107,10
海淀区,110108,10
门头沟区,110109,10
房山区,110111,10
通州区,110112,10
顺义区,110113,10
昌平区,110114,10
大兴区,110115,10
怀柔区,110116,10
平谷区,110117,10
密云区,110118,10
延庆区,110119,10
天津市,120000,22
天津市市辖区,120100,22
和平区,120101,22
河东区,120102,22
河西区,120103,22
南开区,120104,22
河北区,120105,22
红桥区,120106,22
东丽区,120110,22
西青区,120111,22
津南区,120112,22
北辰区,120113,22
武清区,120114,22
宝坻区,120115,22
滨海新区,120116,22
宁河区,120117,22
静海区,120118,22
蓟州区,120119,22
河北省,130000,
石家庄市,130100,311
石家庄市市辖区,130101,311
长安区,130102,311
桥西区,130104,311
新华区,130105,311
井陉矿区,130107,311
裕华区,130108,311
藁城区,130109,311
鹿泉区,130110,311
栾城区,130111,311
井陉县,130121,311
正定县,130123,311
行唐县,130125,311
灵寿县,130126,311
高邑县,130127,311
深泽县,130128,311
赞皇县,130129,311
无极县,130130,311
平山县,130131,311
元氏县,130132,311
赵县,130133,311
辛集市,130181,311
晋州市,130183,311
新乐市,130184,311
唐山市,130200,315
唐山市市辖区,130201,315
路南区,130202,315
路北区,130203,315
古冶区,130204,315
开平区,130205,315
丰南区,130207,315
丰润区,130208,315
曹妃甸区,130209,315
滦州市,130284,315
滦南县,130224,315
乐亭县,130225,315
迁西县,130227,315
玉田县,130229,315
遵化市,130281,315
迁安市,130283,315
秦皇岛市,130300,335
秦皇岛市市辖区,130301,335
海港区,130302,335
山海关区,130303,335
北戴河区,130304,335
抚宁区,130306,335
青龙满族自治县,130321,335
昌黎县,130322,335
卢龙县,130324,335
邯郸市,130400,310
邯郸市市辖区,130401,310
邯山区,130402,310
丛台区,130403,310
复兴区,130404,310
峰峰矿区,130406,310
肥乡区,130407,310
永年区,130408,310
临漳县,130423,310
成安县,130424,310
大名县,130425,310
涉县,130426,310
磁县,130427,310
邱县,130430,310
鸡泽县,130431,310
广平县,130432,310
馆陶县,130433,310
魏县,130434,310
曲周县,130435,310
武安市,130481,310
邢台市,130500,319
邢台市市辖区,130501,319
襄都区,130502,319
信都区,130503,319
临城县,130522,319
内丘县,130523,319
柏乡县,130524,319
隆尧县,130525,319
任泽区,130505,319
南和区,130506,319
宁晋县,130528,319
巨鹿县,130529,319
新河县,130530,319
广宗县,130531,319
平乡县,130532,319
威县,130533,319
清河县,130534,319
临西县,130535,319
南宫市,130581,319
沙河市,130582,319
保定市,130600,312
保定市市辖区,130601,312
竞秀区,130602,312
莲池区,130606,312
满城区,130607,312
清苑区,130608,312
徐水区,130609,312
涞水县,130623,312
阜平县,130624,312
定兴县,130626,312
唐县,130627,312
高阳县,130628,312
容城县,130629,312
涞源县,130630,312
望都县,130631,312
安新县,130632,312
易县,130633,312
曲阳县,130634,312
蠡县,130635,312
顺平县,130636,312
博野县,130637,312
雄县,130638,312
涿州市,130681,312
定州市,130682,312
安国市,130683,312
高碑店市,130684,312
张家口市,130700,313
张家口市市辖区,130701,313
桥东区,130702,313
桥西区,130703,313
宣化区,130705,313
下花园区,130706,313
万全区,130708,313
崇礼区,130709,313
张北县,130722,313
康保县,130723,313
沽源县,130724,313
尚义县,130725,313
蔚县,130726,313
阳原县,130727,313
怀安县,130728,313
怀来县,130730,313
涿鹿县,130731,313
赤城县,130732,313
承德市,130800,314
承德市市辖区,130801,314
双桥区,130802,314
双滦区,130803,314
鹰手营子矿区,130804,314
承德县,130821,314
兴隆县,130822,314
滦平县,130824,314
隆化县,130825,314
丰宁满族自治县,130826,314
宽城满族自治县,130827,314
围场满族蒙古族自治县,130828,314
平泉市,130881,314
沧州市,130900,317
沧州市市辖区,130901,317
新华区,130902,317
运河区,130903,317
沧县,130921,317
青县,130922,317
东光县,130923,317
海兴县,130924,317
盐山县,130925,317
肃宁县,130926,317
南皮县,130927,317
吴桥县,130928,317
献县,130929,317
孟村回族自治县,130930,317
泊头市,130981,317
任丘市,130982,317
黄骅市,130983,317
河间市,130984,317
廊坊市,131000,316
廊坊市市辖区,131001,316
安次区,131002,316
广阳区,131003,316
固安县,131022,316
永清县,131023,316
香河县,131024,316
大城县,131025,316
文安县,131026,316
大厂回族自治县,131028,316
霸州市,131081,316
三河市,131082,316
衡水市,131100,318
衡水市市辖区,131101,318
桃城区,131102,318
冀州区,131103,318
枣强县,131121,318
武邑县,131122,318
武强县,131123,318
饶阳县,131124,318
安平县,131125,318
故城县,131126,318
景县,131127,318
阜城县,131128,318
深州市,131182,318
山西省,140000,
太原市,140100,351
太原市市辖区,140101,351
小店区,140105,351
迎泽区,140106,351
杏花岭区,140107,351
尖草坪区,140108,351
万柏林区,140109,351
晋源区,140110,351
清徐县,140121,351
阳曲县,140122,351
娄烦县,140123,351
古交市,140181,351
大同市,140200,352
大同市市辖区,140201,352
平城区,140213,352
云冈区,140214,352
新荣区,140212,352
阳高县,140221,352
天镇县,140222,352
广灵县,140223,352
灵丘县,140224,352
浑源县,140225,352
左云县,140226,352
云州区,140215,352
阳泉市,140300,353
阳泉市市辖区,140301,353
城区,140302,353
矿区,140303,353
郊区,140311,353
平定县,140321,353
盂县,140322,353
长治市,140400,355
长治市市辖区,140401,355
潞州区,140403,355
上党区,140404,355
襄垣县,140423,355
屯留区,140405,355
平顺县,140425,355
黎城县,140426,355
壶关县,140427,355
长子县,140428,355
武乡县,140429,355
沁县,140430,355
沁源县,140431,355
潞城区,140406,355
晋城市,140500,356
晋城市市辖区,140501,356
城区,140502,356
沁水县,140521,356
阳城县,140522,356
陵川县,140524,356
泽州县,140525,356
高平市,140581,356
朔州市,140600,349
朔州市市辖区,140601,349
朔城区,140602,349
平鲁区,140603,349
山阴县,140621,349
应县,140622,349
右玉县,140623,349
怀仁市,140681,349
晋中市,140700,354
晋中市市辖区,140701,354
榆次区,140702,354
榆社县,140721,354
左权县,140722,354
和顺县,140723,354
昔阳县,140724,354
寿阳县,140725,354
太谷区,140703,354
祁县,140727,354
平遥县,140728,354
灵石县,140729,354
